docno,text,query_id,text_clean,text_lemma
2045455400498036953,"Good luck with the destruction of Hamas and Hezbollah. And the Houthis. And with regime change in Iran. And I'm not sure if you support ethnic cleansing and annexation of the West Bank, but that's bound to be very successful, what's not to love about terrifying Arab peasants? And",MB01,good luck with the destruction of hamas and hezbollah and the houthis and with regime change in iran and i m not sure if you support ethnic cleansing and annexation of the west bank but that s bound to be very successful what s not to love about terrifying arab peasants and,good luck destruction hamas hezbollah houthis regime change iran m sure support ethnic cleansing annexation west bank s bind successful s love terrify arab peasant
2045455256671109437,"What did they succeed to do? 
US blockade forced Iran to opening strait of Hormuz. Handing over their enriched uranium/regime change is still on the table and the United States hasn’t extend their deadline on ceasefire. 47years of terrorism was destroyed in 1 month. NEXT IS NIG",MB01,what did they succeed to do us blockade forced iran to opening strait of hormuz handing over their enriched uranium regime change is still on the table and the united states hasn t extend their deadline on ceasefire 47years of terrorism was destroyed in 1 month next is nig,succeed blockade force iran open strait hormuz handing enriched uranium regime change table united states hasn t extend deadline ceasefire terrorism destroy month nig
2045454943113580804,"What do the people of Iran want?
REGIME CHANGE 
When do they want it?
NOW
Who do they want?
KING REZA PAHLAVI 

@POTUS
 

@LindseyGrahamSC
 
#KingRezaPahlavi‌ForIran",MB01,what do the people of iran want regime change when do they want it now who do they want king reza pahlavi kingrezapahlavi foriran,people iran want regime change want want king reza pahlavi kingrezapahlavi foriran
2045453912824775135,"Sooooo, Trump told the people to rise up and they didn't. Doesn't this mean he's not betraying the people of Iran by stopping before total regime change? What can he do if the people won't fight?",MB01,sooooo trump told the people to rise up and they didn t doesn t this mean he s not betraying the people of iran by stopping before total regime change what can he do if the people won t fight,sooooo trump tell people rise didn t doesn t mean s betray people iran stop total regime change people win t fight
2045453809359462654,"Without a change in Iran's regime, America and Israel are the losers.

If America is unable to change a new regime in Iran, how can America change a new regime in the devil PRC?

There will be no meeting between Trump and Xitler next month.

Fuck Trump.

核弹炸平北京，打倒共产党",MB01,without a change in iran s regime america and israel are the losers if america is unable to change a new regime in iran how can america change a new regime in the devil prc there will be no meeting between trump and xitler next month fuck trump 核弹炸平北京 打倒共产党,change iran s regime america israel loser america unable change new regime iran america change new regime devil prc meeting trump xitler month fuck trump 核弹炸平北京 打倒共产党
2045453737020322224,"This is a coordinated process.

I think the regime change is done in IRAN..
They shaking hands and cuddling with trump's lekays in Pakistan and giving away their leverage is evident that USA is now just making money on all this back and forth.. remember Strait being closed helps",MB01,this is a coordinated process i think the regime change is done in iran they shaking hands and cuddling with trump s lekays in pakistan and giving away their leverage is evident that usa is now just making money on all this back and forth remember strait being closed helps,coordinated process think regime change iran shake hand cuddle trump s lekay pakistan give away leverage evident usa make money forth remember strait close help
2045453318831431934,"'Israeli regime wanted to have GREATER ISRAEL, change geopolitics of region' — Iran’s Deputy FM

'Defence that Iran is doing is on behalf of the WHOLE region'",MB01,israeli regime wanted to have greater israel change geopolitics of region iran s deputy fm defence that iran is doing is on behalf of the whole region,israeli regime want great israel change geopolitic region iran s deputy fm defence iran behalf region
2045453020553695609,"Shakila Ghasemi was taken from her home and disappeared. It has been over 70 days with no information about her situation. Please be her voice, another innocent life is in danger in Iran.

Only regime change can change this. They have not stopped killing Iranians for 47 years,",MB01,shakila ghasemi was taken from her home and disappeared it has been over 70 days with no information about her situation please be her voice another innocent life is in danger in iran only regime change can change this they have not stopped killing iranians for 47 years,shakila ghasemi take home disappear day information situation voice innocent life danger iran regime change change stop kill iranian year
2045452822078959835,"India coming to its senses again, after a brief, ill-timed flirtation with Israel and moronic support for regime change in Iran, one of the better geopolitical bloopers in recent history.",MB01,india coming to its senses again after a brief ill timed flirtation with israel and moronic support for regime change in iran one of the better geopolitical bloopers in recent history,india come sens brief ill timed flirtation israel moronic support regime change iran well geopolitical blooper recent history
2045452145101619611,As if this is about anything other than regime change. To turn Iran into a vassal state for Israel,MB01,as if this is about anything other than regime change to turn iran into a vassal state for israel,regime change turn iran vassal state israel
2045451838250451429,"#KingRezaPahlavi‌ForIran #DigitalBlackOutIran‌ thanks for standing by Iranian people. regime change in Iran is a MUST, a free Iran is our goal and we won't give up",MB01,kingrezapahlavi foriran digitalblackoutiran thanks for standing by iranian people regime change in iran is a must a free iran is our goal and we won t give up,kingrezapahlavi foriran digitalblackoutiran thank stand iranian people regime change iran free iran goal win t
2045451579898359837,Talk of nuclear weapons was a facade. If this was serious then Israel would have been disarmed long ago. Going back to Brookings’ 2009 strategic paper & earlier the strategy was to divide the region and beat a path to regime change in Iran.,MB01,talk of nuclear weapons was a facade if this was serious then israel would have been disarmed long ago going back to brookings 2009 strategic paper earlier the strategy was to divide the region and beat a path to regime change in iran,talk nuclear weapon facade israel disarm long ago go brooking strategic paper early strategy divide region beat path regime change iran
2045451431981748380,"#KingRezaPahlavi‌ForIran thanks for your support, regime change in Iran is a MUST",MB01,kingrezapahlavi foriran thanks for your support regime change in iran is a must,kingrezapahlavi foriran thank support regime change iran
2045451166889472483,"The original aim was regime change. Iran is a signatory to the NPT. It has a lawful right to possess & process. The U.S. tore up the JCPOA, claimed to have destroyed enrichment facilities (June 25), then when an agreement looked imminent (27 Feb) it launched the illegal attack.",MB01,the original aim was regime change iran is a signatory to the npt it has a lawful right to possess process the u s tore up the jcpoa claimed to have destroyed enrichment facilities june 25 then when an agreement looked imminent 27 feb it launched the illegal attack,original aim regime change iran signatory npt lawful right possess process u s tear jcpoa claim destroy enrichment facility june agreement look imminent feb launch illegal attack
2045450896989896907,"They said this will make a regime change

They said everyone in Iran will get the Scia back

They said then Iran will become like Switzerland

They said it is a ""defensive"" war

They said this will cost nothing

They were wrong about quite literally everything",MB01,they said this will make a regime change they said everyone in iran will get the scia back they said then iran will become like switzerland they said it is a defensive war they said this will cost nothing they were wrong about quite literally everything,say regime change say iran scia say iran like switzerland say defensive war say cost wrong literally
2045450762353090823,"True.

And others change Islamist regime to Iran.

The left and the right in India are fucked up.",MB01,true and others change islamist regime to iran the left and the right in india are fucked up,true change islamist regime iran left right india fuck
2045449328555360431,"The world has witnessed the declining might of the US over the past 50 days. It began with the objective of total obliteration, regime change, three days at max. Once Iran survived that and closed the Strait, US navy was supposed to open that. Iran bombed every possible US base",MB01,the world has witnessed the declining might of the us over the past 50 days it began with the objective of total obliteration regime change three days at max once iran survived that and closed the strait us navy was supposed to open that iran bombed every possible us base,world witness decline past day begin objective total obliteration regime change day max iran survive close strait navy suppose open iran bomb possible base
2045449265250459917,"The Islamic regime of Iran is
a liar,
a thief,
divisive,
a troublemaker,
an instigator of conflict,
corrupt,
a terrorist

and it attributes all of these things to its own citizens! 

Free Iran
Save Iranians
One and only Solution is REGIME CHANGE! 

#RezaPahlaviForIran",MB01,the islamic regime of iran is a liar a thief divisive a troublemaker an instigator of conflict corrupt a terrorist and it attributes all of these things to its own citizens free iran save iranians one and only solution is regime change rezapahlaviforiran,islamic regime iran liar thief divisive troublemaker instigator conflict corrupt terrorist attribute thing citizen free iran save iranians solution regime change rezapahlaviforiran
2045449014515048596,"to show for it. To be sure, we have some to show for it, but definitely not enough. What we have now is nothing at all like what Bibi has been promising for months: 
.Iranian regime change
.Removal of the enriched uranium from Iran
.Destruction of all the ballistic missiles 3/4",MB01,to show for it to be sure we have some to show for it but definitely not enough what we have now is nothing at all like what bibi has been promising for months iranian regime change removal of the enriched uranium from iran destruction of all the ballistic missiles 3 4,sure definitely like bibi promise month iranian regime change removal enriched uranium iran destruction ballistic missile
2045448381237981636,"Yes. It's not just about a regime change. Iran and venezuela are global actors supporting chinese ambitions and extremist muslim ambitions to dismantle the west and its freedoms and values. The end game, it would be world war three",MB01,yes it s not just about a regime change iran and venezuela are global actors supporting chinese ambitions and extremist muslim ambitions to dismantle the west and its freedoms and values the end game it would be world war three,yes s regime change iran venezuela global actor support chinese ambition extremist muslim ambition dismantle west freedom value end game world war
2045447868765687984,"We want regime change in Iran
#KingRezaPahlavi‌ForIran",MB01,we want regime change in iran kingrezapahlavi foriran,want regime change iran kingrezapahlavi foriran
2045447340564083079,"Bro come out of WhatsApp University.
USA funded Insurgency was started in India.
Because Indira Gandhi was Pro Russia.
USA often try to instigate regime change same like they are doing in Iran Cuba And Venezuela.
Same thing they tried in India that's why Emergency was proclaimed",MB01,bro come out of whatsapp university usa funded insurgency was started in india because indira gandhi was pro russia usa often try to instigate regime change same like they are doing in iran cuba and venezuela same thing they tried in india that s why emergency was proclaimed,bro come whatsapp university usa funded insurgency start india indira gandhi pro russia usa try instigate regime change like iran cuba venezuela thing try india s emergency proclaim
2045447137094230451,"We want regime change in Iran and prince #kingRezaPahlavi #RezaPahlaviForlran #RezaPahlavi #RezaPahlaviForlran #MEKTerrorist back 
@netanyahu
 
@realDonaldTrump
 
@PahlaviReza
 
@POTUS45",MB01,we want regime change in iran and prince kingrezapahlavi rezapahlaviforlran rezapahlavi rezapahlaviforlran mekterrorist back,want regime change iran prince kingrezapahlavi rezapahlaviforlran rezapahlavi rezapahlaviforlran mekterrorist
2045446741722374617,"Trump is just so awesome he got badly needed regime change from Khamenei to Khamenei, he got the strait of hormuz back open like it was before he went to war with Iran what a guy",MB01,trump is just so awesome he got badly needed regime change from khamenei to khamenei he got the strait of hormuz back open like it was before he went to war with iran what a guy,trump awesome get badly need regime change khamenei khamenei get strait hormuz open like go war iran guy
2045446514768547964,"“As long as the current regime remains in power, Iran will continue pursuing the same policies it has for decades and remain a threat to the United States.” #FreeIran

Regime change in Iran remains as necessary as ever",MB01,as long as the current regime remains in power iran will continue pursuing the same policies it has for decades and remain a threat to the united states freeiran regime change in iran remains as necessary as ever,long current regime remain power iran continue pursue policy decade remain threat united states freeiran regime change iran remain necessary
2045446434401444234,"We know their DNA, just liars. 
A full regime change and transitional government led by Reza Pahlavi would best serve U.S.  interests. 
A free, democratic Iran—free from dangerous ideologies—would strengthen Israel’s long-term security and support U.S. goals in the region.",MB01,we know their dna just liars a full regime change and transitional government led by reza pahlavi would best serve u s interests a free democratic iran free from dangerous ideologies would strengthen israel s long term security and support u s goals in the region,know dna liar regime change transitional government lead reza pahlavi well serve u s interest free democratic iran free dangerous ideology strengthen israel s long term security support u s goal region
2045446143811768783,"@POTUS
 now that you have Iran over the oil barrel 
You should insist on regime change 
Arm their citizens to defend themselves against tyranny",MB01,now that you have iran over the oil barrel you should insist on regime change arm their citizens to defend themselves against tyranny,iran oil barrel insist regime change arm citizen defend tyranny
2045445702428315950,"Yesss
We want only regime change in Iran!",MB01,yesss we want only regime change in iran,yesss want regime change iran
2045444785696076112,Do not negotiate with terr*rists. Regime change in Iran is absolutely necessary.,MB01,do not negotiate with terr rists regime change in iran is absolutely necessary,negotiate terr rist regime change iran absolutely necessary
2045444062484804010,"The is a diversion from the real truth: US and Israel enter war of choice with the aims of regime change and halting nuclear programme. Neither was achieved, Iran closed the Strait and the whole world turned on the US. Operational aims still not achieved, nothings changed",MB01,the is a diversion from the real truth us and israel enter war of choice with the aims of regime change and halting nuclear programme neither was achieved iran closed the strait and the whole world turned on the us operational aims still not achieved nothings changed,diversion real truth israel enter war choice aim regime change halt nuclear programme achieve iran close strait world turn operational aim achieve nothing change
2045443906599346534,"Mr. Donald Trump, instead of pursuing regime change in Iran, is changing the regime in the United States. 
He who had promised to make America Great Again, is taking America back to the Stone Age.


@realDonaldTrump


@MAGAVoice

#RegimeChange
#StoneAge",MB01,mr donald trump instead of pursuing regime change in iran is changing the regime in the united states he who had promised to make america great again is taking america back to the stone age regimechange stoneage,mr donald trump instead pursue regime change iran change regime united states promise america great take america stone age regimechange stoneage
2045443709186023530,Like Syria 2024 would be the model if we wanted regime change in Iran like the sort of thing drew pavlou is discussing where basically we have gotten a lot done already with minimal loss of life is the impression I get,MB01,like syria 2024 would be the model if we wanted regime change in iran like the sort of thing drew pavlou is discussing where basically we have gotten a lot done already with minimal loss of life is the impression i get,like syria model want regime change iran like sort thing draw pavlou discuss basically get lot minimal loss life impression
2045443498799689849,"@POTUS
 
@netanyahu

The people of Iran are still waiting for the day when the streets of Iran become safe so they can come out and shout their demand, which is regime change. You promised.",MB01,the people of iran are still waiting for the day when the streets of iran become safe so they can come out and shout their demand which is regime change you promised,people iran wait day street iran safe come shout demand regime change promise
2045443189352341878,"I wouldn't mind if he had been killed, but apart from wishful thinking, it doesn't change anything in Iran. There is no indication the regime will lose their grip on the country.",MB01,i wouldn t mind if he had been killed but apart from wishful thinking it doesn t change anything in iran there is no indication the regime will lose their grip on the country,wouldn t mind kill apart wishful thinking doesn t change iran indication regime lose grip country
2045442479378379255,She hasnt been elected by us and we dont approve need regime change help from iran as its in international law apparently now,MB01,she hasnt been elected by us and we dont approve need regime change help from iran as its in international law apparently now,not elect not approve need regime change help iran international law apparently
2045442168660136002,"June 2025: 

U.S. strikes ""obliterated"" Iran's nuclear enrichment capacity

28 feb 2026:

Iran is on the verge of developing a nuclear weapon

You are a master at developing false narratives. Your only goal was regime change, in which you completely failed",MB01,june 2025 u s strikes obliterated iran s nuclear enrichment capacity 28 feb 2026 iran is on the verge of developing a nuclear weapon you are a master at developing false narratives your only goal was regime change in which you completely failed,june u s strike obliterate iran s nuclear enrichment capacity feb iran verge develop nuclear weapon master develop false narrative goal regime change completely fail
2045441982303293577,"If the behavior of Isreal and the United States is shown, aggressive attacks upon Iran are going to return  attempting regime change.
Hopefully, God willing peace will come.",MB01,if the behavior of isreal and the united states is shown aggressive attacks upon iran are going to return attempting regime change hopefully god willing peace will come,behavior isreal united states show aggressive attack iran go return attempt regime change hopefully god willing peace come
2045441340368957757,"@TruthTrumpPost @POTUS 

Regime change in Iran
#KingRezaPahlavi #JavidShah‌‌‌‌‌",MB01,regime change in iran kingrezapahlavi javidshah,regime change iran kingrezapahlavi javidshah
2045440967722021024,"June 2025: 
U.S. strikes ""obliterated"" Iran's nuclear enrichment capacity

28 feb 2026:
Iran is on the vergeof developing a nuclear weapon

You are a master at developing false narratives. Your only goal was regime change, in which you completely failed, and you also lost NATO",MB01,june 2025 u s strikes obliterated iran s nuclear enrichment capacity 28 feb 2026 iran is on the vergeof developing a nuclear weapon you are a master at developing false narratives your only goal was regime change in which you completely failed and you also lost nato,june u s strike obliterate iran s nuclear enrichment capacity feb iran vergeof develop nuclear weapon master develop false narrative goal regime change completely fail lose nato
2045440872167125043,"As long as this terr*rist regime in Iran remains in power with the supp*rt of United Kingd*m and Fr@nce, the situation will continue. Regime change in Iran is absolutely necessary. #stopexcutionsiniran #DigitalBlackoutlran #IranMassacre #rezapahlaviforiran",MB01,as long as this terr rist regime in iran remains in power with the supp rt of united kingd m and fr the situation will continue regime change in iran is absolutely necessary stopexcutionsiniran digitalblackoutlran iranmassacre rezapahlaviforiran,long terr rist regime iran remain power supp rt united kingd m fr situation continue regime change iran absolutely necessary stopexcutionsiniran digitalblackoutlran iranmassacre rezapahlaviforiran
2045440826201833965,"Regime change for Iran 
@realdonaldtrump
 
@potus
  
@teamtrump
 
@melaniatrump
 

#DigitalBlackoutiran #thankyoutrump

#IranMassacre

#KingRezaPahlavi

#Freelran #DigitalBlackOutIran‌ #thankyoutrump

#IranMassacre

#KingRezaPahlavi

#Freelran",MB01,regime change for iran digitalblackoutiran thankyoutrump iranmassacre kingrezapahlavi freelran digitalblackoutiran thankyoutrump iranmassacre kingrezapahlavi freelran,regime change iran digitalblackoutiran thankyoutrump iranmassacre kingrezapahlavi freelran digitalblackoutiran thankyoutrump iranmassacre kingrezapahlavi freelran
2045440809600713215,"There was this Iranian analyst ... he spoke about everything happening now since 8 years ago.. he said Irans militias and proxies will be dismantled one by  one, then negotiations will happen and Iran will surrender, then final regime change either by revolution or transition 1/?",MB01,there was this iranian analyst he spoke about everything happening now since 8 years ago he said irans militias and proxies will be dismantled one by one then negotiations will happen and iran will surrender then final regime change either by revolution or transition 1,iranian analyst speak happen year ago say irans militia proxy dismantle negotiation happen iran surrender final regime change revolution transition
2045440519208079838,"Glad to seeing some of the bad guys falling. Congratulations again Hungary , looking forward to the next regime change in Iran!",MB01,glad to seeing some of the bad guys falling congratulations again hungary looking forward to the next regime change in iran,glad see bad guy fall congratulation hungary look forward regime change iran
2045440283559784730,"Epstein syndicate infiltration.. 

In Iran they wanted regime change.

In India they want to keep this regime in power as long as possible.",MB01,epstein syndicate infiltration in iran they wanted regime change in india they want to keep this regime in power as long as possible,epstein syndicate infiltration iran want regime change india want regime power long possible
2045439935516192946,"Have they done the regime change, defense equipment give up & nuclear!
Strait of Iran wasn't in the agenda of the war!
USA & it's allies lost the war because they didn't achieve anything!
Plus the superpower status is gone!
UAE should think how to live with Iran.",MB01,have they done the regime change defense equipment give up nuclear strait of iran wasn t in the agenda of the war usa it s allies lost the war because they didn t achieve anything plus the superpower status is gone uae should think how to live with iran,regime change defense equipment nuclear strait iran wasn t agenda war usa s ally lose war didn t achieve plus superpower status go uae think live iran
2045439588836249854,"Iran is now superpower .
- Iran gets billions of their frozen funds back
- Iran ships off uranium to a Third Party 
- Iran controls the Strait of Hormuz and will collect tolls.
- Iran maintains their drone and ballistic missiles
- no regime change & end of greater Israel project",MB01,iran is now superpower iran gets billions of their frozen funds back iran ships off uranium to a third party iran controls the strait of hormuz and will collect tolls iran maintains their drone and ballistic missiles no regime change end of greater israel project,iran superpower iran get billion frozen fund iran ship uranium party iran control strait hormuz collect toll iran maintain drone ballistic missile regime change end great israel project
2045439473979453510,"Iran is now superpower .
- Iran gets billions of their frozen funds back
- Iran ships off uranium to a Third Party 
- Iran controls the Strait of Hormuz and will collect tolls.
- Iran maintains their drone and ballistic missiles
- no regime change & end of greater Israel project",MB01,iran is now superpower iran gets billions of their frozen funds back iran ships off uranium to a third party iran controls the strait of hormuz and will collect tolls iran maintains their drone and ballistic missiles no regime change end of greater israel project,iran superpower iran get billion frozen fund iran ship uranium party iran control strait hormuz collect toll iran maintain drone ballistic missile regime change end great israel project
2045439423026975015,"Iran is now superpower .
- Iran gets billions of their frozen funds back
- Iran ships off uranium to a Third Party 
- Iran controls the Strait of Hormuz and will collect tolls.
- Iran maintains their drone and ballistic missiles
- no regime change & end of greater Israel project",MB01,iran is now superpower iran gets billions of their frozen funds back iran ships off uranium to a third party iran controls the strait of hormuz and will collect tolls iran maintains their drone and ballistic missiles no regime change end of greater israel project,iran superpower iran get billion frozen fund iran ship uranium party iran control strait hormuz collect toll iran maintain drone ballistic missile regime change end great israel project
2045438657621090684,"Likely, Pakistanis prefer a regime change before Iran due to the hardships experienced under CDF rule over the past six years.",MB01,likely pakistanis prefer a regime change before iran due to the hardships experienced under cdf rule over the past six years,likely pakistani prefer regime change iran hardship experience cdf rule past year
2045438432747667600,"They said there would be regime change.

They said Iran would collapse in a day.

Instead Israel and the US were forced into begging for a ceasefire. Retard",MB01,they said there would be regime change they said iran would collapse in a day instead israel and the us were forced into begging for a ceasefire retard,say regime change say iran collapse day instead israel force beg ceasefire retard
2045438384320205216,"They said there would be regime change.

They said Iran would collapse in a day.

Instead Israel and the US were forced into begging for a ceasefire. Retard",MB01,they said there would be regime change they said iran would collapse in a day instead israel and the us were forced into begging for a ceasefire retard,say regime change say iran collapse day instead israel force beg ceasefire retard
2045437915170537759,"@realDonaldTrump
 Does this mean the Strait of Hormuz reopens, fuel gets cheaper, the U.S. takes the enriched uranium, and the world moves on—while the suffering, the thousands killed, &those facing execution in Iran are forgotten? Regime change is a #KingRezaPahlavi‌ForIran",MB01,does this mean the strait of hormuz reopens fuel gets cheaper the u s takes the enriched uranium and the world moves on while the suffering the thousands killed those facing execution in iran are forgotten regime change is a kingrezapahlavi foriran,mean strait hormuz reopen fuel get cheap u s take enriched uranium world move suffering thousand kill face execution iran forget regime change kingrezapahlavi foriran
2045437869737857173,"@realDonaldTrump
 Does this mean the Strait of Hormuz reopens, fuel gets cheaper, the U.S. takes the enriched uranium, and the world moves on—while the suffering, the thousands killed, &those facing execution in Iran are forgotten? Regime change is a #KingRezaPahlavi‌ForIran",MB01,does this mean the strait of hormuz reopens fuel gets cheaper the u s takes the enriched uranium and the world moves on while the suffering the thousands killed those facing execution in iran are forgotten regime change is a kingrezapahlavi foriran,mean strait hormuz reopen fuel get cheap u s take enriched uranium world move suffering thousand kill face execution iran forget regime change kingrezapahlavi foriran
2045437692511711397,"Complete regime change in Iran 
#KingRezaPahlavi‌ForIran 
#FreeIran‌ 
#IranRevolution2026‌",MB01,complete regime change in iran kingrezapahlavi foriran freeiran iranrevolution2026,complete regime change iran kingrezapahlavi foriran freeiran
2045436889264513141,"@POTUS
 
@netanyahu
 
The people of Iran are still waiting for the day when the streets of Iran become safe so they can come out and shout their demand, which is regime change. You promised.
#",MB01,the people of iran are still waiting for the day when the streets of iran become safe so they can come out and shout their demand which is regime change you promised,people iran wait day street iran safe come shout demand regime change promise
2045436765134102980,"Yeah, because Iran would never have had others waiting in the wings to take over political & military leadership. Duh! His ""regime change"" has pretty much just replaced one group of tyrants with another & shown control of Strait of Hormuz is more powerful than a lot of US weapons",MB01,yeah because iran would never have had others waiting in the wings to take over political military leadership duh his regime change has pretty much just replaced one group of tyrants with another shown control of strait of hormuz is more powerful than a lot of us weapons,yeah iran wait wing political military leadership duh regime change pretty replace group tyrant show control strait hormuz powerful lot weapon
2045436749246255493,"We want a complete regime change in Iran with the leadership of 
@PahlaviReza
 
#KingRezaPahlavi‌ForIran 
#IranRevolution2026‌ 
#FreeIran‌",MB01,we want a complete regime change in iran with the leadership of kingrezapahlavi foriran iranrevolution2026 freeiran,want complete regime change iran leadership kingrezapahlavi foriran freeiran
